Scout,Tenderfoot,SecondClass,FirstClass,Star,Life,Eagle,Palms,MeritBadge,Date,YTD,Male_Youth,Female_Youth,Youth,Unit,LDS,Gender,Sub-District
,,,,0,0,2,0,0,2015,2,15,,15,Crew 0604-NA,,,1
,,,,0,0,2,0,1,2015,2,20,,20,Crew 0113-NA,,,2
,,,,0,0,0,0,0,2015,0,5,,5,Crew 1938-NA,,,2
,,,,0,0,0,1,1,2015,0,12,,12,Crew 0006-NA,,,3
,,,,0,0,0,0,0,2015,0,12,,12,Crew 0248-NA,,,3
,,,,0,0,0,0,0,2015,0,8,,8,Crew 0392-NA,,,3
,,,,0,0,0,0,0,2015,0,15,,15,Crew 0710-NA,,,3
,,,,0,0,0,2,9,2015,0,16,,16,Crew 0716-NA,,,3
,,,,0,0,0,0,0,2015,0,16,,16,Crew 0732-NA,,,3
,,,,0,0,0,0,0,2015,0,5,,5,Crew 0923-NA,,,3
,,,,0,0,0,0,0,2015,0,5,,5,Crew 0142-NA,,,4
,,,,0,0,1,0,0,2015,1,11,,11,Crew 0145-NA,,,4
,,,,0,0,0,0,2,2015,0,18,,18,Crew 0148-NA,,,4
,,,,0,0,0,0,0,2015,0,13,,13,Crew 0715-NA,,,4
,,,,0,0,1,0,5,2015,1,12,,12,Crew 0719-NA,,,4
,,,,1,1,0,0,13,2015,2,4,,4,Crew 0739-NA,,,4
,,,,0,0,0,0,0,2015,0,7,,7,Crew 0718-NA,,,5
,,,,0,0,0,0,3,2015,0,5,,5,Crew 0733-NA,,,5
,,,,0,2,2,0,9,2015,4,13,,13,Crew 0740-NA,,,5
,,,,0,0,0,0,0,2015,0,15,,15,Crew 0743-NA,,,5
,,,,0,0,2,0,5,2015,2,20,,20,Crew 0746-NA,,,5
,,,,0,0,2,0,1,2015,2,9,,9,Crew 0763-NA,,,5
,,,,0,0,1,0,3,2015,1,11,,11,Crew 0793-NA,,,5
,,,,0,0,0,0,0,2016,0,5,,5,Crew 0644-NA,,,1
,,,,0,0,0,0,0,2016,0,12,,12,Crew 1938-NA,,,1
,,,,0,0,0,0,0,2016,0,7,,7,Crew 0604-NA,,,2
,,,,0,0,0,0,0,2016,0,5,,5,Crew 4099-NA,,,2
,,,,1,1,1,0,27,2016,3,7,,7,Crew 0006-NA,,,3
,,,,0,0,1,0,0,2016,1,4,,4,Crew 0248-NA,,,3
,,,,0,0,0,0,0,2016,0,4,,4,Crew 0392-NA,,,3
,,,,0,0,0,0,0,2016,0,7,,7,Crew 0710-NA,,,3
,,,,0,0,0,0,1,2016,0,8,,8,Crew 0716-NA,,,3
,,,,0,0,0,0,0,2016,0,13,,13,Crew 0732-NA,,,3
,,,,0,0,0,0,0,2016,0,3,,3,Crew 0923-NA,,,3
,,,,0,0,2,0,0,2016,2,5,,5,Crew 0142-NA,,,4
,,,,0,0,1,0,1,2016,1,6,,6,Crew 0145-NA,,,4
,,,,0,0,0,0,5,2016,0,8,,8,Crew 0148-NA,,,4
,,,,0,0,0,0,0,2016,0,12,,12,Crew 0715-NA,,,4
,,,,0,1,1,0,10,2016,2,9,,9,Crew 0719-NA,,,4
,,,,0,0,1,0,4,2016,1,5,,5,Crew 0739-NA,,,4
,,,,0,0,0,0,1,2016,0,9,,9,Crew 0718-NA,,,5
,,,,0,0,1,0,4,2016,1,5,,5,Crew 0733-NA,,,5
,,,,1,1,2,0,12,2016,4,20,,20,Crew 0740-NA,,,5
,,,,0,0,2,0,3,2016,2,5,,5,Crew 0743-NA,,,5
,,,,0,0,0,0,5,2016,0,11,,11,Crew 0746-NA,,,5
,,,,0,0,0,0,0,2016,0,7,,7,Crew 0763-NA,,,5
,,,,0,0,1,0,0,2016,1,26,,26,Crew 0793-NA,,,5
,,,,0,0,0,0,0,2016,0,12,,12,Crew 0113-NA,,,
,,,,0,0,0,0,0,2017,0,10,,10,Crew 0113-NA,,,1
,,,,0,0,0,0,0,2017,0,5,,5,Crew 0644-NA,,,1
,,,,0,0,0,0,0,2017,0,6,,6,Crew 1532-NA,,,1
,,,,0,0,0,0,0,2017,0,5,,5,Crew 1938-NA,,,1
,,,,0,0,0,0,0,2017,0,3,,3,Crew 0604-NA,,,2
,,,,0,0,0,0,0,2017,0,5,,5,Crew 4099-NA,,,2
,,,,0,0,2,0,0,2017,2,3,,3,Crew 0006-NA,,,3
,,,,0,0,0,0,0,2017,0,0,,0,Crew 0248-NA,,,3
,,,,0,0,0,0,0,2017,0,2,,2,Crew 0392-NA,,,3
,,,,0,0,0,0,3,2017,0,3,,3,Crew 0710-NA,,,3
,,,,0,0,1,0,0,2017,1,3,,3,Crew 0716-NA,,,3
,,,,2,3,1,0,41,2017,6,0,,0,Crew 0732-NA,,,3
,,,,0,0,0,0,0,2017,0,2,,2,Crew 0923-NA,,,3
,,,,0,0,0,0,0,2017,0,4,,4,Crew 0142-NA,,,4
,,,,0,0,0,0,0,2017,0,0,,0,Crew 0145-NA,,,4
,,,,0,0,1,0,0,2017,1,3,,3,Crew 0148-NA,,,4
,,,,0,0,0,0,0,2017,0,1,,1,Crew 0715-NA,,,4
,,,,0,0,0,0,0,2017,0,4,,4,Crew 0719-NA,,,4
,,,,0,0,0,0,2,2017,0,2,,2,Crew 0739-NA,,,4
,,,,0,0,0,0,0,2017,0,3,,3,Crew 0718-NA,,,5
,,,,0,0,0,0,0,2017,0,0,,0,Crew 0733-NA,,,5
,,,,1,2,2,0,30,2017,5,10,,10,Crew 0740-NA,,,5
,,,,0,0,1,0,0,2017,1,7,,7,Crew 0743-NA,,,5
,,,,0,0,1,0,0,2017,1,7,,7,Crew 0746-NA,,,5
,,,,0,0,0,0,1,2017,0,4,,4,Crew 0763-NA,,,5
,,,,0,0,4,0,2,2017,4,3,,3,Crew 0793-NA,,,5
,,,,0,0,0,0,0,2018,0,7,,7,Crew 0113-NA,,,1
,,,,0,0,0,0,0,2018,0,6,,6,Crew 0839-NA,,,1
,,,,0,0,0,0,0,2018,0,2,,2,Crew 1532-NA,,,1
,,,,0,0,0,0,0,2018,0,0,,0,Crew 1938-NA,,,1
,,,,0,0,0,0,0,2018,0,3,,3,Crew 0604-NA,,,2
2,1,1,1,0,0,0,0,19,2019,5,0,5,5,Crew 0113-NA,N,,1
0,0,0,0,0,0,0,0,1,2019,0,6,0,6,Crew 0839-NA,N,,1
0,0,0,0,0,0,0,0,0,2019,0,5,0,5,Crew 1532-NA,N,,1
0,0,0,0,0,0,0,0,1,2019,0,2,4,6,Crew 1938-NA,N,,1
0,0,0,0,1,1,0,0,17,2020,2,1,5,6,Crew 0113-NA,N,,
0,0,0,0,0,1,1,0,15,2020,2,9,4,13,Crew 0563-NA,N,,
0,0,0,0,0,0,0,0,17,2020,0,1,1,2,Crew 0604-NA,N,,
0,0,0,0,0,0,0,0,10,2020,0,5,0,5,Crew 0839-NA,N,,
0,0,0,0,0,0,0,0,0,2020,0,5,0,5,Crew 1532-NA,N,,
0,0,0,0,0,0,0,0,1,2021,0,1,1,2,Crew 0113-NA,N,,
0,0,0,0,0,0,0,0,0,2021,0,2,0,2,Crew 0308-NA,N,,
